		Class     Images     Labels          P          R     mAP@.5 mAP@
                 all        370       1944       0.84      0.821      0.826       0.48
         ArrowButton        370        120      0.755       0.85      0.774      0.428
           AudioIcon        370         45      0.978       0.99      0.991      0.565
        CalendarIcon        370         25      0.935          1      0.986      0.685
          CameraIcon        370         25      0.861       0.88      0.873      0.543
           Checkmark        370         51       0.83      0.941      0.861      0.483
       ClickableText        370         53      0.845      0.619      0.666      0.383
             DotIcon        370         59      0.803        0.9      0.846      0.384
            DropDown        370         27      0.808      0.469      0.493       0.34
          ExitButton        370         46      0.671      0.708      0.718      0.367
FloatingActionButton        370         15      0.867      0.869      0.895      0.694
           HeartIcon        370         19      0.835      0.842      0.876      0.445
            HomeIcon        370         28      0.965      0.992      0.992      0.595
                Icon        370        602       0.77      0.844      0.836      0.475
            InfoIcon        370         62      0.857      0.868      0.795      0.427
               Input        370         90      0.722      0.378      0.477      0.314
            LikeIcon        370         36          1      0.858      0.877      0.512
             MapIcon        370          7      0.658      0.571      0.514      0.303
          MenuButton        370         52      0.809      0.895       0.87      0.448
         OnOffSwitch        370         56      0.944      0.904      0.941      0.545
       PageIndicator        370         53      0.968      0.563      0.796      0.402
         PictureIcon        370         11      0.784      0.909      0.881      0.547
      RoundCheckmark        370         51      0.982          1      0.995      0.568
          SearchIcon        370         58      0.961      0.948      0.952      0.549
        SettingsIcon        370         43      0.956      0.907      0.931      0.507
           ShareIcon        370         34      0.931      0.912      0.963      0.557
              Slider        370         33      0.927      0.773      0.858      0.508
          SocialIcon        370         55      0.811      0.782      0.732      0.368
            StarIcon        370         31      0.718      0.935      0.877       0.47
          TextButton        370        151      0.661      0.682      0.645      0.514
           TrashIcon        370          6      0.596      0.833      0.871      0.486
